company,title,totalyearlycompensation,yearsofexperience,yearsatcompany,basesalary,gender,Race,Education,state,country
Google,Software Engineer,400000,5,5,210000,Male,Asian,PhD, CA,US
Microsoft,Software Engineer,136000,3,2,124000,Male,Two Or More,Bachelor's Degree, WA,US
Google,Software Engineer,337000,6,6,177000,Male,Asian,Bachelor's Degree, CA,US
Microsoft,Software Engineer,222000,4,4,164000,Male,Asian,Master's Degree, WA,US
Blend,Software Engineer,187000,5,0,165000,Male,White,Bachelor's Degree, CA,US
Amazon,Software Engineer,310000,15,3,160000,Male,Asian,Bachelor's Degree, WA,US
Chevron,Software Engineer,113000,3,3,103000,Male,Hispanic,Bachelor's Degree, TX,US
Amazon,Software Engineering Manager,620000,19,7,160000,Male,Asian,Bachelor's Degree, WA,US
Shopify,Software Engineer,98000,9,4,78000,Male,Asian,Bachelor's Degree, ON,Canada
Apple,Software Engineer,180000,1,1,130000,Male,Asian,Bachelor's Degree, BC,Canada
Square,Software Engineer,212000,5,1,140000,Male,Black,Some College, CA,US
Amazon,Software Engineer,210000,4,1,150000,Male,Hispanic,Highschool, WA,US
Salesforce,Software Engineer,68000,8,1,45000,Male,Asian,Master's Degree, KA,India
Amazon,Software Engineer,142000,0,0,112000,Male,Asian,Master's Degree, AZ,US
Intel,Software Engineer,129000,6,4,114000,Male,Two Or More,Master's Degree, CA,US
Facebook,Software Engineer,242000,2,2,167000,Male,White,Master's Degree, CA,US
PayPal,Software Engineer,215000,6,0,155000,Male,Asian,Master's Degree, TX,US
Twitter,Software Engineer,365000,10,6,187000,Male,White,Highschool, NY,US
Microsoft,Software Engineer,135000,1,0,110000,Female,Hispanic,Bachelor's Degree, WA,US
Microsoft,Software Engineer,173000,10,2,153000,Male,Asian,Bachelor's Degree, WA,US
Intel,Hardware Engineer,134000,6,6,130000,Male,Asian,Master's Degree, CA,US
Charles Schwab,Software Engineer,121000,9,4,111000,Male,Hispanic,Master's Degree, TX,US
Microsoft,Software Engineer,328000,12,0,215000,Male,Asian,Bachelor's Degree, CA,US
Tanium,Software Engineer,300000,15,0,160000,Male,White,Master's Degree, IL,US
Facebook,Software Engineering Manager,309000,14,2,201000,Male,Two Or More,Master's Degree, CA,US
Google,Software Engineer,46000,2,0,27000,Male,Asian,Bachelor's Degree, KA,India
ByteDance,Software Engineer,493000,10,0,215000,Female,Asian,Master's Degree, CA,US
Ticketmaster,Software Engineer,190000,10,6,180000,Male,Asian,Master's Degree, CA,US
Facebook,Software Engineer,255000,6,2,160000,Male,Asian,Master's Degree, CA,US
GoDaddy,Software Engineer,260000,15,2,210000,Male,White,Bachelor's Degree, WA,US
Amazon,Software Engineer,50000,3,3,36000,Male,Asian,Bachelor's Degree, HR,India
Salesforce,Software Engineer,74000,7,0,53000,Male,Asian,Master's Degree, AP,India
BrowserStack,Software Engineer,30000,2,2,27000,Male,Asian,Bachelor's Degree, MH,India
SmartSheet,Software Engineer,275000,10,3,170000,Female,White,Master's Degree, MA,US
