company,title,totalyearlycompensation,yearsofexperience,yearsatcompany,bonus,gender,Race,Education,state,country,basesalary
89.0,11.0,187000.0,5.0,0.0,0.0,1.0,4.0,0         ,19.0,63.0,173260.0
89.0,11.0,190000.0,4.0,4.0,204670.0,1.0,0.0,0         ,19.0,63.0,127000.0
2.0,1.0,170000.0,3.0,3.0,146510.0,1.0,4.0,0         ,19.0,63.0,170000.0
89.0,11.0,215000.0,3.0,1.0,148150.0,1.0,0.0,2         ,161.0,63.0,145000.0
89.0,12.0,620000.0,19.0,7.0,210420.0,1.0,0.0,0         ,161.0,63.0,160000.0
0.0,11.0,180000.0,1.0,1.0,134180.0,1.0,0.0,0         ,9.0,52.0,130000.0
6.0,11.0,194000.0,13.0,13.0,210420.0,1.0,0.0,0         ,83.0,63.0,194000.0
89.0,11.0,187000.0,5.0,0.0,138990.0,1.0,4.0,0         ,19.0,63.0,165000.0
2.0,14.0,247000.0,3.0,0.0,134870.0,1.0,4.0,0         ,19.0,63.0,150000.0
1.0,11.0,136000.0,3.0,2.0,137700.0,1.0,3.0,0         ,161.0,63.0,124000.0
2.0,11.0,289000.0,6.0,1.0,153340.0,1.0,0.0,2         ,19.0,63.0,163000.0
89.0,11.0,310000.0,15.0,3.0,0.0,1.0,0.0,0         ,161.0,63.0,169550.0
89.0,11.0,98000.0,9.0,4.0,204670.0,1.0,0.0,0         ,116.0,52.0,78000.0
89.0,8.0,42000.0,7.0,5.0,205760.0,1.0,0.0,2         ,66.0,56.0,40000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,11.0,150000.0,0.0,0.0,138730.0,0.0,4.0,0         ,112.0,63.0,120000.0
89.0,11.0,89000.0,4.0,2.0,143780.0,1.0,0.0,0         ,116.0,52.0,70000.0
89.0,11.0,232000.0,5.0,0.0,138940.0,1.0,3.0,3         ,19.0,63.0,180000.0
7.0,8.0,230000.0,20.0,15.0,204160.0,1.0,4.0,2         ,19.0,63.0,185000.0
1.0,11.0,136000.0,3.0,2.0,11000.0,1.0,3.0,0         ,161.0,63.0,137700.0
89.0,12.0,620000.0,19.0,7.0,210420.0,1.0,0.0,0         ,161.0,63.0,160000.0
88.0,11.0,334000.0,11.0,3.0,149190.0,1.0,2.0,2         ,19.0,63.0,191000.0
88.0,11.0,272000.0,5.0,0.0,255060.0,2.0,4.0,0         ,161.0,63.0,165000.0
89.0,11.0,260000.0,15.0,2.0,141420.0,1.0,4.0,0         ,161.0,63.0,210000.0
89.0,11.0,310000.0,15.0,3.0,154800.0,1.0,0.0,0         ,161.0,63.0,160000.0
89.0,11.0,252000.0,4.0,0.0,142180.0,1.0,0.0,0         ,153.0,63.0,160000.0
89.0,11.0,113000.0,3.0,3.0,146510.0,1.0,2.0,0         ,149.0,63.0,103000.0
89.0,11.0,107000.0,4.0,4.0,204080.0,1.0,0.0,2         ,19.0,63.0,107000.0
2.0,11.0,337000.0,6.0,6.0,210820.0,1.0,0.0,0         ,19.0,63.0,177000.0
89.0,11.0,98000.0,9.0,4.0,204670.0,1.0,0.0,0         ,116.0,52.0,78000.0
89.0,11.0,98000.0,9.0,4.0,204670.0,1.0,0.0,0         ,116.0,52.0,78000.0
2.0,11.0,400000.0,5.0,5.0,45000.0,1.0,0.0,3         ,19.0,63.0,205760.0
88.0,11.0,272000.0,2.0,0.0,136450.0,1.0,0.0,2         ,112.0,63.0,165000.0
89.0,12.0,620000.0,19.0,7.0,0.0,1.0,0.0,0         ,161.0,63.0,189070.0
80.0,13.0,213000.0,10.0,2.0,141420.0,1.0,4.0,0         ,19.0,63.0,167000.0
89.0,11.0,99000.0,3.0,1.0,143600.0,1.0,4.0,0         ,116.0,52.0,66000.0
0.0,11.0,180000.0,1.0,1.0,134180.0,1.0,0.0,0         ,9.0,52.0,130000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
0.0,11.0,162000.0,0.0,0.0,143710.0,0.0,4.0,0         ,19.0,63.0,130000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
83.0,4.0,154000.0,6.0,5.0,205760.0,1.0,0.0,2         ,112.0,63.0,134000.0
89.0,11.0,310000.0,15.0,3.0,154800.0,1.0,0.0,0         ,161.0,63.0,160000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
2.0,11.0,337000.0,6.0,6.0,210820.0,1.0,0.0,0         ,19.0,63.0,177000.0
1.0,11.0,136000.0,3.0,2.0,137700.0,1.0,3.0,0         ,161.0,63.0,124000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,11.0,129000.0,6.0,4.0,199410.0,1.0,3.0,2         ,19.0,63.0,114000.0
88.0,11.0,185000.0,0.0,0.0,149870.0,1.0,0.0,2         ,19.0,63.0,123000.0
2.0,11.0,400000.0,5.0,5.0,45000.0,1.0,0.0,3         ,19.0,63.0,205760.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,2.0,125000.0,7.0,5.0,205760.0,1.0,0.0,2         ,149.0,63.0,110000.0
1.0,11.0,136000.0,3.0,2.0,137700.0,1.0,3.0,0         ,161.0,63.0,124000.0
1.0,11.0,167000.0,6.0,3.0,153710.0,1.0,0.0,2         ,161.0,63.0,137000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,12.0,620000.0,19.0,7.0,210420.0,1.0,0.0,0         ,161.0,63.0,160000.0
89.0,12.0,620000.0,19.0,7.0,210420.0,1.0,0.0,0         ,161.0,63.0,160000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,11.0,187000.0,5.0,0.0,138990.0,1.0,4.0,0         ,19.0,63.0,165000.0
89.0,13.0,181000.0,10.0,2.0,141420.0,1.0,1.0,0         ,19.0,63.0,180000.0
5.0,11.0,74000.0,7.0,0.0,146330.0,1.0,0.0,2         ,5.0,56.0,53000.0
2.0,11.0,337000.0,6.0,6.0,210820.0,1.0,0.0,0         ,19.0,63.0,177000.0
89.0,4.0,100000.0,2.0,2.0,134410.0,1.0,4.0,0         ,57.0,63.0,95000.0
7.0,11.0,140000.0,8.0,8.0,210420.0,1.0,0.0,0         ,153.0,63.0,117000.0
89.0,11.0,113000.0,3.0,3.0,10000.0,1.0,2.0,0         ,149.0,63.0,146510.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,11.0,310000.0,15.0,3.0,0.0,1.0,0.0,0         ,161.0,63.0,169550.0
89.0,11.0,98000.0,9.0,4.0,204670.0,1.0,0.0,0         ,116.0,52.0,78000.0
89.0,11.0,215000.0,6.0,0.0,146330.0,1.0,0.0,2         ,19.0,63.0,150000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
1.0,11.0,173000.0,10.0,2.0,146430.0,1.0,0.0,0         ,161.0,63.0,153000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
88.0,1.0,205000.0,0.0,0.0,149870.0,0.0,0.0,3         ,19.0,63.0,150000.0
89.0,14.0,265000.0,7.0,1.0,148370.0,1.0,4.0,0         ,19.0,63.0,171000.0
1.0,11.0,136000.0,3.0,2.0,137700.0,1.0,3.0,0         ,161.0,63.0,124000.0
1.0,11.0,222000.0,4.0,4.0,204080.0,1.0,0.0,2         ,161.0,63.0,164000.0
89.0,11.0,187000.0,5.0,0.0,0.0,1.0,4.0,0         ,19.0,63.0,173260.0
5.0,11.0,68000.0,8.0,1.0,153340.0,1.0,0.0,2         ,66.0,56.0,45000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
1.0,11.0,222000.0,4.0,4.0,20000.0,1.0,0.0,2         ,161.0,63.0,204080.0
2.0,11.0,354000.0,12.0,12.0,209230.0,1.0,0.0,3         ,19.0,63.0,183000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
1.0,11.0,156000.0,7.0,7.0,210420.0,0.0,0.0,0         ,161.0,63.0,140000.0
89.0,11.0,165000.0,0.0,0.0,138730.0,1.0,1.0,0         ,112.0,63.0,145000.0
89.0,11.0,30000.0,2.0,2.0,137840.0,1.0,0.0,0         ,89.0,56.0,27000.0
1.0,11.0,222000.0,4.0,4.0,204080.0,1.0,0.0,2         ,161.0,63.0,164000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
82.0,4.0,100000.0,0.0,0.0,138730.0,1.0,4.0,0         ,112.0,63.0,90000.0
0.0,11.0,180000.0,1.0,1.0,134180.0,1.0,0.0,0         ,9.0,52.0,130000.0
89.0,11.0,113000.0,3.0,3.0,146510.0,1.0,2.0,0         ,149.0,63.0,103000.0
89.0,11.0,165000.0,3.0,1.0,148150.0,1.0,0.0,2         ,112.0,63.0,142000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
0.0,11.0,180000.0,1.0,1.0,134180.0,1.0,0.0,0         ,9.0,52.0,130000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,2.0,134000.0,6.0,6.0,209630.0,1.0,0.0,2         ,19.0,63.0,130000.0
89.0,11.0,135000.0,6.0,6.0,205750.0,1.0,4.0,0         ,102.0,63.0,120000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
1.0,11.0,136000.0,3.0,2.0,137700.0,1.0,3.0,0         ,161.0,63.0,124000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,11.0,162000.0,5.0,2.0,145800.0,1.0,0.0,2         ,161.0,63.0,140000.0
1.0,11.0,222000.0,4.0,4.0,204080.0,1.0,0.0,2         ,161.0,63.0,164000.0
89.0,11.0,187000.0,5.0,0.0,138990.0,1.0,4.0,0         ,19.0,63.0,165000.0
2.0,11.0,337000.0,6.0,6.0,210820.0,1.0,0.0,0         ,19.0,63.0,177000.0
1.0,11.0,136000.0,3.0,2.0,137700.0,1.0,3.0,0         ,161.0,63.0,124000.0
89.0,11.0,113000.0,3.0,3.0,146510.0,1.0,2.0,0         ,149.0,63.0,103000.0
89.0,11.0,287000.0,19.0,3.0,153710.0,1.0,0.0,2         ,112.0,63.0,250000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,11.0,310000.0,15.0,3.0,154800.0,1.0,0.0,0         ,161.0,63.0,160000.0
89.0,11.0,98000.0,9.0,4.0,204670.0,1.0,0.0,0         ,116.0,52.0,78000.0
1.0,11.0,227000.0,6.0,0.0,146330.0,1.0,0.0,2         ,161.0,63.0,150000.0
88.0,12.0,309000.0,14.0,2.0,140790.0,1.0,3.0,2         ,19.0,63.0,201000.0
1.0,11.0,222000.0,4.0,4.0,204080.0,1.0,0.0,2         ,161.0,63.0,164000.0
2.0,11.0,46000.0,2.0,0.0,136450.0,1.0,0.0,0         ,66.0,56.0,27000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
2.0,11.0,337000.0,6.0,6.0,36000.0,1.0,0.0,0         ,19.0,63.0,210820.0
89.0,11.0,190000.0,10.0,6.0,209630.0,1.0,0.0,2         ,19.0,63.0,180000.0
89.0,11.0,310000.0,15.0,3.0,154800.0,1.0,0.0,0         ,161.0,63.0,160000.0
89.0,11.0,121000.0,9.0,4.0,199410.0,1.0,2.0,2         ,149.0,63.0,111000.0
43.0,11.0,800000.0,15.0,8.0,205350.0,1.0,4.0,0         ,112.0,63.0,250000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
1.0,11.0,222000.0,4.0,4.0,204080.0,1.0,0.0,2         ,161.0,63.0,164000.0
89.0,8.0,271000.0,10.0,1.0,148280.0,1.0,4.0,2         ,19.0,63.0,142000.0
1.0,11.0,222000.0,4.0,4.0,204080.0,1.0,0.0,2         ,161.0,63.0,164000.0
89.0,7.0,144000.0,7.0,2.0,145800.0,0.0,0.0,2         ,112.0,63.0,126000.0
89.0,11.0,98000.0,9.0,4.0,204670.0,1.0,0.0,0         ,116.0,52.0,78000.0
89.0,11.0,310000.0,15.0,3.0,154800.0,1.0,0.0,0         ,161.0,63.0,160000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
0.0,11.0,180000.0,1.0,1.0,134180.0,1.0,0.0,0         ,9.0,52.0,130000.0
89.0,11.0,233000.0,9.0,4.0,204080.0,1.0,0.0,2         ,35.0,64.0,194000.0
89.0,11.0,250000.0,9.0,7.0,204160.0,1.0,4.0,2         ,112.0,63.0,165000.0
88.0,11.0,242000.0,2.0,2.0,133830.0,1.0,4.0,2         ,19.0,63.0,167000.0
89.0,11.0,147000.0,5.0,2.0,140790.0,1.0,4.0,2         ,19.0,63.0,130000.0
89.0,11.0,550000.0,10.0,6.0,204560.0,1.0,4.0,3         ,83.0,63.0,160000.0
6.0,13.0,157000.0,13.0,1.0,153340.0,1.0,0.0,2         ,19.0,63.0,150000.0
0.0,11.0,180000.0,1.0,1.0,134180.0,1.0,0.0,0         ,9.0,52.0,130000.0
