company,title,totalyearlycompensation,yearsofexperience,yearsatcompany,basesalary,gender,Race,Education,state,country
2.0,11,400000,5,5,210000,1,0,3,19,63
1.0,11,136000,3,2,124000,1,3,0,161,63
2.0,11,337000,6,6,177000,1,0,0,19,63
1.0,11,222000,4,4,164000,1,0,2,161,63
89.0,11,187000,5,0,165000,1,4,0,19,63
89.0,11,310000,15,3,160000,1,0,0,161,63
89.0,11,113000,3,3,103000,1,2,0,149,63
89.0,12,620000,19,7,160000,1,0,0,161,63
89.0,11,98000,9,4,78000,1,0,0,116,52
0.0,11,180000,1,1,130000,1,0,0,9,52
89.0,11,212000,5,1,140000,1,1,4,19,63
89.0,11,210000,4,1,150000,1,2,1,161,63
5.0,11,68000,8,1,45000,1,0,2,66,56
89.0,11,142000,0,0,112000,1,0,2,8,63
89.0,11,129000,6,4,114000,1,3,2,19,63
88.0,11,242000,2,2,167000,1,4,2,19,63
89.0,11,215000,6,0,155000,1,0,2,149,63
89.0,11,365000,10,6,187000,1,4,1,112,63
1.0,11,135000,1,0,110000,0,2,0,161,63
1.0,11,173000,10,2,153000,1,0,0,161,63
89.0,2,134000,6,6,130000,1,0,2,19,63
89.0,11,121000,9,4,111000,1,2,2,149,63
1.0,11,328000,12,0,215000,1,0,0,19,63
89.0,11,300000,15,0,160000,1,4,2,57,63
88.0,12,309000,14,2,201000,1,3,2,19,63
2.0,11,46000,2,0,27000,1,0,0,66,56
89.0,11,493000,10,0,215000,0,0,2,19,63
89.0,11,190000,10,6,180000,1,0,2,19,63
88.0,11,255000,6,2,160000,1,0,2,19,63
89.0,11,260000,15,2,210000,1,4,0,161,63
89.0,11,50000,3,3,36000,1,0,0,54,56
5.0,11,74000,7,0,53000,1,0,2,5,56
89.0,11,30000,2,2,27000,1,0,0,89,56
79.0,11,275000,10,3,170000,0,4,2,83,63
89.0,11,287000,19,3,250000,1,0,2,112,63
89.0,7,144000,7,2,126000,0,0,2,112,63
81.0,4,266000,14,3,246000,1,0,2,149,63
0.0,8,309000,10,1,220000,1,2,0,19,63
89.0,11,189000,2,0,135000,1,0,0,161,63
89.0,8,347000,18,3,150000,1,0,2,161,63
82.0,13,74000,17,0,74000,1,0,0,54,56
89.0,11,550000,10,6,160000,1,4,3,83,63
89.0,11,232000,5,0,180000,1,3,3,19,63
89.0,11,135000,6,6,120000,1,4,0,102,63
88.0,11,272000,2,0,165000,1,0,2,112,63
82.0,4,100000,0,0,90000,1,4,0,112,63
43.0,11,800000,15,8,250000,1,4,0,112,63
88.0,11,272000,5,0,165000,2,4,0,161,63
0.0,11,162000,0,0,130000,0,4,0,19,63
89.0,11,99000,3,1,66000,1,4,0,116,52
89.0,11,190000,4,4,127000,1,0,0,19,63
89.0,11,252000,4,0,160000,1,0,0,153,63
89.0,11,89000,4,2,70000,1,0,0,116,52
7.0,8,230000,20,15,185000,1,4,2,19,63
89.0,13,181000,10,2,180000,1,1,0,19,63
89.0,11,381000,5,5,198000,1,4,2,19,63
3.0,11,176000,0,0,120000,0,4,0,24,63
89.0,11,162000,5,2,140000,1,0,2,161,63
2.0,11,289000,6,1,163000,1,0,2,19,63
88.0,11,334000,11,3,191000,1,2,2,19,63
1.0,12,441000,13,9,185000,2,4,2,161,63
89.0,8,42000,7,5,40000,1,0,2,66,56
89.0,11,107000,4,4,107000,1,0,2,19,63
89.0,11,275000,5,0,150000,1,0,0,19,63
80.0,13,213000,10,2,167000,1,4,0,19,63
89.0,10,370000,15,1,210000,1,4,0,57,63
12.0,14,175000,16,3,150000,0,4,0,149,63
89.0,11,155000,4,0,150000,0,4,0,112,63
89.0,11,165000,3,1,142000,1,0,2,112,63
89.0,11,215000,6,0,150000,1,0,2,19,63
84.0,4,90000,0,0,86000,1,0,0,19,63
83.0,4,154000,6,5,134000,1,0,2,112,63
89.0,11,390000,6,0,192000,1,0,2,19,63
89.0,4,100000,2,2,95000,1,4,0,57,63
7.0,11,140000,8,8,117000,1,0,0,153,63
89.0,2,125000,7,5,110000,1,0,2,149,63
1.0,11,227000,6,0,150000,1,0,2,161,63
89.0,11,147000,5,2,130000,1,4,2,19,63
89.0,11,233000,9,4,194000,1,0,2,35,64
2.0,11,354000,12,12,183000,1,0,3,19,63
1.0,11,156000,7,7,140000,0,0,0,161,63
89.0,11,150000,0,0,120000,0,4,0,112,63
6.0,13,157000,13,1,150000,1,0,2,19,63
6.0,11,194000,13,13,194000,1,0,0,83,63
89.0,11,250000,9,7,165000,1,4,2,112,63
1.0,11,167000,6,3,137000,1,0,2,161,63
89.0,11,128000,3,1,112000,1,4,0,19,63
1.0,2,188000,4,1,147000,0,0,2,19,63
89.0,11,215000,3,1,145000,1,0,2,161,63
0.0,2,202000,3,2,130000,1,4,0,19,63
88.0,11,185000,0,0,123000,1,0,2,19,63
89.0,14,300000,16,4,160000,1,0,2,161,63
89.0,14,272000,22,5,159000,1,4,2,19,63
89.0,14,265000,7,1,171000,1,4,0,19,63
2.0,14,247000,3,0,150000,1,4,0,19,63
2.0,1,170000,3,3,170000,1,4,0,19,63
89.0,11,215000,9,2,155000,1,0,2,161,63
89.0,8,271000,10,1,142000,1,4,2,19,63
89.0,11,165000,0,0,145000,1,1,0,112,63
88.0,1,205000,0,0,150000,0,0,3,19,63
